share,metric,metric_mean,metric_sd
0.30,MSE,0.02835662,0.002656
0.30,MAE,0.14469146,0.008406
0.30,CHR_Wait,0.26040000,0.116535
0.30,CHR_SE,0.43750000,0.189686
0.30,Spearman_rho,0.61126000,0.098362
0.30,Pearson_r,0.61792000,0.100272
0.30,selected_lambda,0.2600,0.0860
0.50,MSE,0.02782343,0.001301
0.50,MAE,0.14349537,0.003756
0.50,CHR_Wait,0.24374000,0.056139
0.50,CHR_SE,0.49374000,0.038725
0.50,Spearman_rho,0.63072000,0.050443
0.50,Pearson_r,0.64068000,0.050054
0.50,selected_lambda,0.2500,0.0316
0.70,MSE,0.02763317,0.001834
0.70,MAE,0.14254540,0.006170
0.70,CHR_Wait,0.21876000,0.090812
0.70,CHR_SE,0.47916000,0.037829
0.70,Spearman_rho,0.64942000,0.085311
0.70,Pearson_r,0.65544000,0.085258
0.70,selected_lambda,0.2300,0.0510
1.00,MSE,0.02742083,0.000000
1.00,MAE,0.14288978,0.000000
1.00,CHR_Wait,0.25000000,0.000000
1.00,CHR_SE,0.48960000,0.000000
1.00,Spearman_rho,0.62540000,0.000000
1.00,Pearson_r,0.63900000,0.000000
1.00,selected_lambda,0.2500,0.0000
